code,name,boards,hist_cur_pe,pe_pct,pe_lo,pe_median,pe_hi,n_points,change_pct,mktcap_yi
600845,宝信软件,机器人概念,43.47,46.6,29.43,44.5,89.04,731,0.9,54458673874.0
002617,露笑科技,机器人概念,83.02,47.4,15.26,89.32,2758.39,521,3.98,15960694247.0
002833,弘亚数控,机器人概念,17.15,47.8,10.33,17.45,52.52,690,-0.61,7559818838.0
002230,科大讯飞,机器人概念,122.82,48.0,51.6,124.25,599.93,731,0.93,106964615320.0
301330,熵基科技,机器人概念,32.36,48.0,19.63,32.75,60.34,1391,-1.62,6300360994.0
002530,金财互联,机器人概念,90.15,48.9,16.65,103.32,4133.52,354,2.44,6218001437.0
000887,中鼎股份,机器人概念,18.99,49.1,9.34,19.11,56.12,731,-1.29,28291364663.0
600742,富维股份,机器人概念,12.84,49.4,6.98,12.89,18.09,731,0.78,5795851464.0
301345,涛涛车业,机器人概念,23.93,50.0,13.53,23.93,45.54,1175,0.54,21809814200.0
300815,玉禾田,机器人概念,13.54,50.3,7.61,13.48,60.67,777,1.18,7545346560.0
002765,蓝黛科技,机器人概念,34.69,50.7,15.45,34.52,1684.56,515,-0.5,5236588563.0
002164,宁波东力,机器人概念,38.65,50.7,1.62,34.49,538.19,552,-2.86,7578153331.0
603305,旭升集团,机器人概念,42.9,51.7,12.05,42.34,112.09,814,-1.71,16642203206.0
600366,宁波韵升,机器人概念,34.33,52.2,11.81,32.29,142.59,623,0.08,14089706274.0
688518,联赢激光,机器人概念,52.67,53.4,11.7,50.6,167.62,1089,1.87,8922237983.0
002541,鸿路钢构,机器人概念,20.0,54.2,6.87,19.3,50.68,731,-2.69,12496232373.0
002111,威海广泰,机器人概念,31.04,54.4,9.27,29.67,150.01,684,-0.52,5075379130.0
600839,四川长虹,机器人概念,42.5,54.5,24.61,40.9,264.56,594,0.73,31759760247.0
002324,普利特,机器人概念,42.13,55.0,17.95,38.73,589.27,694,1.9,13136691089.0
603112,华翔股份,机器人概念,17.94,55.4,10.11,17.7,36.61,1046,3.84,10648038828.0
002405,四维图新,机器人概念,161.94,55.6,56.36,150.71,355.32,441,3.81,18751832119.0
002886,沃特股份,机器人概念,99.28,55.9,26.04,85.13,765.98,818,3.61,7332851321.0
300077,国民技术,机器人概念,80.29,56.2,19.55,76.06,3703.36,352,2.89,14993381337.0
300128,锦富技术,机器人概念,172.19,56.9,58.69,144.03,571.87,225,1.72,9197737117.0
000821,ST京机,机器人概念,48.19,57.0,11.96,38.84,308.11,661,-0.1,6066800338.0
000969,安泰科技,机器人概念,57.99,57.0,22.4,52.48,190.97,626,1.0,22344547574.0
300124,汇川技术,机器人概念,42.56,57.2,22.32,40.87,108.76,731,-0.51,200741756408.0
301596,瑞迪智驱,机器人概念,60.56,58.0,32.61,57.69,91.34,757,0.29,6175538959.0
301261,恒工精密,机器人概念,60.07,58.8,20.18,39.5,186.07,1065,-1.36,7769493326.0
300184,力源信息,机器人概念,66.82,60.0,12.34,50.61,206.12,662,3.64,18626246860.0
300276,三丰智能,机器人概念,206.94,60.6,1.12,72.69,727.2,564,-2.0,11656677677.0
002768,国恩股份,机器人概念,18.76,60.9,8.41,16.41,101.18,731,1.92,18870300000.0
002026,山东威达,机器人概念,20.91,61.1,10.69,19.22,63.61,658,0.82,5418542850.0
601689,拓普集团,机器人概念,42.8,61.3,12.81,38.0,104.28,731,-2.63,115235877310.0
603683,晶华新材,机器人概念,99.46,61.7,9.14,72.86,1328.76,789,-4.14,9161166377.0
001339,智微智能,机器人概念,107.98,62.2,23.93,87.48,782.2,1393,-1.8,25234106812.0
603075,热威股份,机器人概念,29.25,62.4,24.05,28.57,60.73,1002,-2.58,9285285371.0
300161,华中数控,机器人概念,209.69,63.6,30.0,137.03,1268.58,412,1.21,6477519136.0
000425,徐工机械,机器人概念,17.6,63.7,6.74,15.74,142.79,731,-3.02,112778956624.0
000723,美锦能源,机器人概念,29.15,63.9,9.18,24.34,1110.24,548,-2.37,18142411941.0
688139,海尔生物,机器人概念,42.02,64.2,17.45,37.69,119.88,807,-1.37,9114996154.0
002925,盈趣科技,机器人概念,28.4,64.3,14.02,25.75,70.49,767,-1.56,16598601330.0
688400,凌云光,机器人概念,84.1,64.5,43.14,70.72,213.31,1433,1.35,29501423116.0
688305,科德数控,机器人概念,97.11,64.6,51.31,82.09,256.28,898,3.39,9041641304.0
300010,ST豆神,机器人概念,89.47,64.9,29.35,61.82,508.93,356,1.12,5579854179.0
605088,冠盛股份,机器人概念,23.05,65.1,9.49,20.72,33.99,1061,-1.1,6588596723.0
301325,曼恩斯特,机器人概念,45.37,65.2,13.95,30.24,75.74,718,2.71,6044930647.0
300031,宝通科技,机器人概念,40.44,65.5,11.99,28.78,153.87,658,3.03,10958601008.0
002881,美格智能,机器人概念,94.38,65.8,30.68,78.54,250.92,819,-1.66,13279366509.0
300913,兆龙互连,机器人概念,80.17,66.1,23.02,69.06,151.15,1005,1.66,20155529856.0
002358,森源电气,机器人概念,56.54,66.2,27.05,49.32,698.47,485,0.33,5587839432.0
300115,长盈精密,机器人概念,80.01,66.6,20.23,45.51,481.62,658,-1.96,42990860865.0
600022,山东钢铁,机器人概念,29.29,66.7,5.26,21.81,235.26,439,-1.53,13801515925.0
002179,中航光电,机器人概念,38.96,67.0,19.18,35.17,68.65,731,3.59,77497848733.0
001696,宗申动力,机器人概念,29.9,67.7,12.56,20.31,101.5,731,10.03,20095222446.0
002600,领益智造,机器人概念,49.57,68.0,13.46,36.04,624.19,693,0.91,105749634900.0
002559,亚威股份,机器人概念,52.56,68.3,20.12,36.49,3917.54,731,1.03,5409687836.0
000925,众合科技,机器人概念,95.21,68.8,15.13,63.85,4720.7,507,3.06,5701797903.0
002488,金固股份,机器人概念,178.56,68.9,7.16,114.16,701.12,425,-2.74,9904618697.0
300853,申昊科技,机器人概念,41.78,69.2,17.59,34.98,65.61,503,6.21,5476790795.0
300100,双林股份,机器人概念,42.54,69.3,11.35,36.41,334.43,583,-1.26,17988863463.0
300545,联得装备,机器人概念,69.5,69.4,19.13,51.4,168.76,709,-1.28,6554205028.0
301141,中科磁业,机器人概念,218.83,69.5,36.73,154.53,373.51,1162,4.15,5907672976.0
300201,海伦哲,机器人概念,57.72,69.6,14.26,41.43,379.74,621,-0.22,18626944985.0
605277,新亚电子,机器人概念,31.83,70.4,16.22,26.6,58.58,990,3.41,7169851098.0
300217,东方电热,机器人概念,52.22,70.8,7.68,34.38,132.11,647,1.62,7404664469.0
002376,新北洋,机器人概念,63.09,71.1,20.03,35.9,181.84,657,1.29,5098438383.0
300143,盈康生命,机器人概念,111.51,71.1,26.84,75.19,472.98,501,-1.9,7034296524.0
688306,均普智能,机器人概念,1398.28,71.5,102.4,712.44,5961.53,866,-0.76,11214221964.0
603416,信捷电气,机器人概念,35.2,71.7,12.75,28.29,62.62,692,-2.48,9010329216.0
688097,博众精工,机器人概念,44.69,72.2,21.39,35.85,108.05,927,5.37,30738299187.0
300304,云意电气,机器人概念,29.89,72.2,13.59,25.12,149.2,731,7.55,14138113860.0
601609,金田股份,机器人概念,26.16,72.8,12.67,22.67,43.85,1120,2.91,20778231080.0
300353,东土科技,机器人概念,144.3,73.1,16.68,59.34,391.55,454,0.0,13429260521.0
300397,天和防务,机器人概念,303.68,73.5,55.78,102.49,849.26,215,1.09,6693043113.0
601727,上海电气,机器人概念,88.84,73.6,13.46,42.64,862.44,518,0.27,115307702539.0
000035,中国天楹,机器人概念,43.04,73.6,11.62,37.3,114.72,731,-2.88,12083445811.0
603296,华勤技术,机器人概念,25.14,73.7,13.34,22.06,36.97,1036,1.22,111079730389.0
301310,鑫宏业,机器人概念,45.42,73.8,16.5,33.89,67.64,1103,-2.77,5971282176.0
603380,XD易德龙,机器人概念,26.76,74.0,15.66,24.25,59.22,819,5.78,5868939096.0
002245,蔚蓝锂芯,机器人概念,44.44,74.1,10.03,36.21,170.79,731,3.62,35211528428.0
000959,首钢股份,机器人概念,30.95,74.5,4.53,15.03,2606.83,623,-1.19,25746491668.0
688322,奥比中光-W,机器人概念,429.69,75.0,228.48,332.43,763.3,300,-1.92,56721795536.0
688686,奥普特,机器人概念,85.27,75.0,31.44,66.96,147.22,993,-0.55,16297653215.0
300403,汉宇集团,机器人概念,31.87,75.1,11.89,22.53,52.29,731,-3.1,6602850000.0
605111,新洁能,机器人概念,61.6,75.2,25.61,38.66,179.37,1040,3.41,24201428679.0
300047,天源迪科,机器人概念,197.93,75.5,19.22,71.33,663.81,731,-0.39,6504995654.0
301348,蓝箭电子,机器人概念,485.23,75.6,81.04,278.03,658.38,809,5.75,5824800000.0
600114,东睦股份,机器人概念,45.84,75.8,11.42,34.14,539.45,711,2.45,25829898044.0
002960,青鸟智控,机器人概念,28.03,76.1,11.65,22.21,40.86,832,-0.6,8788146781.0
688697,纽威数控,机器人概念,29.55,76.1,13.28,22.85,62.04,863,5.65,9663454319.0
002036,联创电子,机器人概念,104.37,76.3,14.44,46.91,182.21,502,3.25,9412622698.0
688326,经纬恒润-W,机器人概念,217.82,76.3,63.75,106.98,397.91,658,-0.84,9229456872.0
688499,利元亨,机器人概念,137.91,76.7,31.0,77.19,251.68,537,0.62,7987607663.0
600567,山鹰国际,机器人概念,27.1,76.8,4.59,12.64,84.14,578,-3.05,8010465699.0
000837,秦川机床,机器人概念,260.96,77.1,19.89,87.42,651.3,497,5.6,13689691299.0
300657,弘信电子,机器人概念,119.89,77.2,21.62,54.79,466.59,513,4.22,22283847358.0
603686,福龙马,机器人概念,38.56,77.8,10.87,20.52,99.42,731,-0.34,6032049466.0
002097,山河智能,机器人概念,128.28,77.8,11.8,34.45,398.91,555,-0.6,8908577119.0
002526,山东矿机,机器人概念,65.42,78.0,16.13,41.24,574.52,678,3.08,5366209446.0
002196,方正电机,机器人概念,145.62,78.0,18.27,50.99,466.05,355,-3.93,6669477459.0
600582,天地科技,机器人概念,15.94,78.1,7.23,11.56,25.75,731,-0.9,22803624795.0
300432,富临精工,机器人概念,72.83,78.3,7.18,45.83,526.39,571,-1.07,36503381167.0
