==============================================================================
【BK0917】PE 历史分位扫描 (近十年) — 按分位升序
共 214 只,有效估值 212 只,分位<= 100.0% 命中 212 只
扫描时间: 2026-06-09 11:42 BJT
==============================================================================
代码      名称            当前PE    历史分位      区间低       中位       区间高     今日%      市值亿
300024  机器人          908.9   93.7%     42.3     83.0    1266.4  -1.13%      246
300045  华力创通         588.1   93.7%     36.6    122.4     824.6  -1.09%      120
603360  百傲化学          77.4   93.7%      8.6     20.1     118.6  -0.48%      133
688726  拉普拉斯          49.6   93.7%     18.6     24.1      61.3   1.48%      247
688662  富信科技         184.6   93.8%     21.4     70.9     687.5  12.55%       83
688478  晶升股份         431.2   93.8%     32.1     92.2     516.6   9.81%       83
688584  上海合晶         139.3   94.1%     42.1     99.1     181.3  13.72%      188
300480  光力科技         225.3   94.3%     39.9     75.8     291.3   3.44%      126
300474  景嘉微          561.8   94.6%     73.5    118.4     799.5   0.43%      281
603011  合锻智能         904.9   94.8%     22.6     70.8    5966.5   2.73%      151
300726  宏达电子          63.7   94.9%     14.5     39.6      85.0   0.35%      281
301338  凯格精机         114.4   95.3%     28.1     56.3     145.3  -3.51%      241
688531  日联科技         162.6   95.5%     30.4     61.1     216.2   0.77%      303
688535  华海诚科         500.7   95.6%     85.7    169.4     659.4   6.47%      163
002129  TCL中环        106.0   95.7%      4.9     46.1     164.8   9.98%      397
688661  和林微纳         589.4   95.7%     32.4     92.1     773.6   0.36%      175
688376  美埃科技          80.8   95.8%     18.1     30.7     104.3  11.66%      100
600522  中天科技          52.9   96.0%      9.3     18.1     130.9   4.52%     1767
300395  菲利华          122.6   96.3%     23.5     48.6     169.7   6.56%      630
003009  中天火箭        2457.2   96.3%     26.4     70.2    3225.0  -5.22%       95
300376  易事特          182.8   96.3%     10.7     33.6     237.8  -1.85%      136
603186  华正新材          73.7   96.6%     13.3     41.1     135.1  10.00%      235
603773  沃格光电         300.2   96.6%     17.2     78.7     307.8   2.56%      315
000988  华工科技          88.1   96.7%     19.1     42.8     113.3   2.00%     1527
300327  中颖电子         137.9   96.9%     24.1     48.5     164.8   3.95%       93
002183  怡 亚 通        192.7   96.9%     17.5     58.2     338.0  -3.28%      161
002579  中京电子         392.9   97.0%     23.4     45.8    2136.7  -2.02%      101
003043  华亚智能         119.0   97.0%     22.3     48.6     132.6  10.00%       98
603078  江化微          154.7   97.1%     32.8     72.4     218.4  -0.84%      164
601231  环旭电子          47.9   97.5%     10.1     20.6      61.4   3.17%      956
000818  航锦科技         198.7   97.7%     10.7     55.0     358.6   0.08%       85
688172  燕东微          132.1   97.7%     33.6     55.8     145.5   4.10%      909
600703  三安光电         799.6   97.8%     11.8     86.7     959.9   2.25%      839
301312  智立方          217.0   97.8%     25.9     60.8     278.3   0.69%      142
688106  金宏气体         151.8   97.9%     23.0     53.8     201.3   2.51%      144
300316  晶盛机电         144.6   98.1%      6.4     43.5     174.1   8.24%      649
688003  天准科技         189.6   98.1%     26.6     63.9     212.7  -7.55%      198
300053  航宇微          211.2   98.2%     44.5     77.2     267.9  -2.06%      116
002428  云南锗业        2695.6   98.3%    160.0    447.7    3331.8   3.62%      532
688037  芯源微          659.4   98.4%     42.5    132.4     825.1   6.52%      496
300672  国科微          998.2   98.4%     22.9    117.8    1226.4   1.53%      610
601133  柏诚股份          74.6   98.4%     20.9     31.1      92.7   6.01%      152
300131  英唐智控        1360.2   98.7%     20.2     97.1    1991.3   2.87%      183
002008  大族激光          90.2   99.0%     11.8     30.4     111.3   0.95%     1256
601208  东材科技         143.9   99.0%     18.3     45.9     162.9  10.00%      602
300567  精测电子         570.8   99.2%     20.3     67.1     627.0   3.62%      515
603931  格林达           94.2   99.2%     19.3     37.3     106.4   0.44%      114
002456  欧菲光          733.2   99.2%     14.8     54.5     764.7   1.95%      316
603052  可川科技         474.7   99.3%     17.5     39.9     521.2   1.77%      167
300814  中富电路         784.5   99.4%     26.3     95.2     803.7   7.22%      320
688456  有研粉材         110.1   99.4%     18.6     55.3     114.0  -0.58%       98
688268  华特气体         183.4   99.5%     24.8     53.9     197.1   2.35%      234
603688  石英股份         267.9   99.5%      2.9     45.7     294.0   5.39%      388
002436  兴森科技         435.8   99.5%     17.4     43.0     469.0   1.32%      637
688303  大全能源         104.3   99.5%      4.7     10.1     123.7  -1.34%      442
300782  卓胜微          271.9   99.7%     23.6     80.3     272.5   1.81%      550
688603  天承科技         226.8   99.7%     36.5     83.6     233.8  -0.68%      220
600745  *ST闻泰        673.1   99.8%     22.6     58.7     673.1  -4.02%      250
300671  富满微          282.3   99.8%     24.9     71.8     282.3   3.55%       94
688630  芯碁微装         148.5   99.8%     31.5     65.5     155.1   2.43%      527
600330  天通股份        1462.9   99.9%     16.3     36.1    1462.9   3.51%      342
688017  绿的谐波         574.1   99.9%     46.6    163.9     574.1  -2.65%      764
603938  XD三孚股        216.7   99.9%     10.5     34.0     216.7   0.25%      200
688383  新益昌          344.8   99.9%     27.2     70.5     344.8   1.50%      142
688146  中船特气         370.7   99.9%     34.7     52.5     370.7  -1.60%     1314
601137  博威合金         149.5   99.9%      8.0     19.4     149.5  -1.24%      213
603203  快克智能         123.6   99.9%     16.8     27.1     123.6  -1.84%      181
------------------------------------------------------------------------------
分位<20% = 当前 PE 处于自身历史低位(相对低点)
⚠ 分位低也可能是业绩恶化/盈利下滑导致,需结合基本面核实
