==============================================================================
【机器人概念】PE 历史分位扫描 (近十年) — 按分位升序
共 461 只,有效估值 455 只,分位<= 100.0% 命中 455 只
扫描时间: 2026-06-09 11:14 BJT
==============================================================================
代码      名称            当前PE    历史分位      区间低       中位       区间高     今日%      市值亿
301042  安联锐视         233.4   88.8%     17.9     29.2     632.9   1.32%       74
603915  国茂股份          44.7   89.1%     13.8     32.5      65.1  -1.33%      109
300101  振芯科技         584.1   89.4%     19.6    174.6    1746.0   0.99%       93
002062  宏润建设          35.9   89.5%      9.7     15.4      59.9   2.37%       96
301216  万凯新材          28.2   89.5%      8.6     12.9      50.2  -0.94%      140
603012  创力集团          58.4   90.0%      7.1     16.8      77.7  -5.92%       50
300252  金信诺          342.7   90.1%     30.1     79.6     741.4   1.48%      112
001208  华菱线缆          91.4   90.1%     24.6     50.5     161.0   0.97%      100
002664  信质集团          49.6   90.1%     15.4     27.4     235.2  -1.95%       76
600184  光电股份         288.6   90.3%     59.6    104.8     450.0   5.12%      155
002048  宁波华翔          49.7   90.4%      7.9     11.4     681.5  -3.35%      209
301005  超捷股份        1265.5   90.9%     26.1     76.3    2179.3  -1.93%      180
002261  拓维信息         569.5   91.0%     33.7    117.6    1929.2   2.70%      350
300825  阿尔特         1178.7   91.0%     20.7     65.3    1680.3  -1.90%       72
000967  盈峰环境          57.3   91.1%     11.1     27.2     116.3  -0.29%      341
000581  威孚高科          16.1   91.1%      6.0      9.6     102.1  -0.06%      175
603626  科森科技         104.2   91.2%     11.8     37.8     184.0  -3.46%      129
002031  巨轮智能         408.6   91.4%     38.0    142.2     523.2  -1.90%      148
301028  鼎熔岩           28.1   91.4%     15.8     22.8      36.2  -1.11%       65
688261  东微半导         199.1   91.4%     21.2     83.7     284.9   7.13%       94
688007  光峰科技         231.1   91.6%     35.0     79.7     476.2  -2.41%       60
301622  英思特           80.8   91.7%     37.7     48.3      90.7   2.62%       65
603776  永安行          120.6   91.9%      4.7     10.6     150.9   2.03%       55
688218  江苏北人         652.8   91.9%     19.9     63.4     973.1   2.17%       54
600835  上海机电          28.4   92.1%      9.5     15.1      34.6  -1.36%      215
002195  岩山科技         495.9   92.4%     11.8     38.8     839.3   1.12%      410
600596  新安股份          87.3   92.4%      4.3     17.3     120.7   7.36%      197
601138  工业富联          34.4   92.5%      7.8     16.4      54.3   3.76%    14512
000591  太阳能           27.6   92.5%      9.6     16.6      44.0   3.16%      204
301213  观想科技         286.4   92.7%     43.1     92.3     327.4  -3.31%       53
300476  胜宏科技          66.1   92.7%     15.5     34.4     106.7   6.06%     3281
000970  中科三环         163.0   92.7%     17.2     52.0    1611.4   5.70%      162
002979  雷赛智能          71.3   92.8%     20.5     45.0      86.7   0.00%      172
300290  荣科科技         889.7   93.0%     29.8    113.2    1564.5   0.31%       62
688627  精智达          367.1   93.2%     29.7     85.3     430.6   2.31%      361
300024  机器人          908.9   93.7%     42.3     83.0    1266.4  -1.19%      246
002536  飞龙股份          86.9   94.0%     11.1     29.4     235.1   6.51%      233
301179  泽宇智能          51.9   94.1%     17.2     26.4      79.5   0.19%       84
603992  松霖科技          54.5   94.2%     14.4     25.2      75.7  -5.58%      131
300863  卡倍亿          107.1   94.2%     16.3     42.0     155.6   4.33%      186
300421  力星股份         108.8   94.3%     21.2     47.7     192.6  -1.87%       63
300638  广和通           82.2   94.3%     13.1     49.6      97.5  -2.45%      189
688328  深科达          160.6   94.4%     25.8     41.0     199.4   3.78%       62
