==============================================================================
【机器人概念】PE 历史分位扫描 (近十年) — 按分位升序
共 461 只,有效估值 455 只,分位<= 100.0% 命中 455 只
扫描时间: 2026-06-09 11:14 BJT
==============================================================================
代码      名称            当前PE    历史分位      区间低       中位       区间高     今日%      市值亿
002881  美格智能          94.4   65.8%     30.7     78.5     250.9  -1.66%      133
300913  兆龙互连          80.2   66.1%     23.0     69.1     151.2   1.66%      202
002358  森源电气          56.5   66.2%     27.1     49.3     698.5   0.33%       56
300115  长盈精密          80.0   66.6%     20.2     45.5     481.6  -1.96%      430
600022  山东钢铁          29.3   66.7%      5.3     21.8     235.3  -1.53%      138
002179  中航光电          39.0   67.0%     19.2     35.2      68.7   3.59%      775
001696  宗申动力          29.9   67.7%     12.6     20.3     101.5  10.03%      201
002600  领益智造          49.6   68.0%     13.5     36.0     624.2   0.91%     1057
002559  亚威股份          52.6   68.3%     20.1     36.5    3917.5   1.03%       54
000925  众合科技          95.2   68.8%     15.1     63.9    4720.7   3.06%       57
002488  金固股份         178.6   68.9%      7.2    114.2     701.1  -2.74%       99
300853  申昊科技          41.8   69.2%     17.6     35.0      65.6   6.21%       55
300100  双林股份          42.5   69.3%     11.3     36.4     334.4  -1.26%      180
300545  联得装备          69.5   69.4%     19.1     51.4     168.8  -1.28%       66
301141  中科磁业         218.8   69.5%     36.7    154.5     373.5   4.15%       59
300201  海伦哲           57.7   69.6%     14.3     41.4     379.7  -0.22%      186
605277  新亚电子          31.8   70.4%     16.2     26.6      58.6   3.41%       72
300217  东方电热          52.2   70.8%      7.7     34.4     132.1   1.62%       74
002376  新北洋           63.1   71.1%     20.0     35.9     181.8   1.29%       51
300143  盈康生命         111.5   71.1%     26.8     75.2     473.0  -1.90%       70
688306  均普智能        1398.3   71.5%    102.4    712.4    5961.5  -0.76%      112
603416  信捷电气          35.2   71.7%     12.8     28.3      62.6  -2.48%       90
688097  博众精工          44.7   72.2%     21.4     35.9     108.0   5.37%      307
300304  云意电气          29.9   72.2%     13.6     25.1     149.2   7.55%      141
601609  金田股份          26.2   72.8%     12.7     22.7      43.9   2.91%      208
300353  东土科技         144.3   73.1%     16.7     59.3     391.6   0.00%      134
300397  天和防务         303.7   73.5%     55.8    102.5     849.3   1.09%       67
601727  上海电气          88.8   73.6%     13.5     42.6     862.4   0.27%     1153
000035  中国天楹          43.0   73.6%     11.6     37.3     114.7  -2.88%      121
603296  华勤技术          25.1   73.7%     13.3     22.1      37.0   1.22%     1111
301310  鑫宏业           45.4   73.8%     16.5     33.9      67.6  -2.77%       60
603380  XD易德龙         26.8   74.0%     15.7     24.2      59.2   5.78%       59
002245  蔚蓝锂芯          44.4   74.1%     10.0     36.2     170.8   3.62%      352
000959  首钢股份          30.9   74.5%      4.5     15.0    2606.8  -1.19%      257
688322  奥比中光-W       429.7   75.0%    228.5    332.4     763.3  -1.92%      567
688686  奥普特           85.3   75.0%     31.4     67.0     147.2  -0.55%      163
300403  汉宇集团          31.9   75.1%     11.9     22.5      52.3  -3.10%       66
605111  新洁能           61.6   75.2%     25.6     38.7     179.4   3.41%      242
300047  天源迪科         197.9   75.5%     19.2     71.3     663.8  -0.39%       65
301348  蓝箭电子         485.2   75.6%     81.0    278.0     658.4   5.75%       58
600114  东睦股份          45.8   75.8%     11.4     34.1     539.5   2.45%      258
002960  青鸟智控          28.0   76.1%     11.7     22.2      40.9  -0.60%       88
688697  纽威数控          29.6   76.1%     13.3     22.9      62.0   5.65%       97
002036  联创电子         104.4   76.3%     14.4     46.9     182.2   3.25%       94
688326  经纬恒润-W       217.8   76.3%     63.8    107.0     397.9  -0.84%       92
688499  利元亨          137.9   76.7%     31.0     77.2     251.7   0.62%       80
600567  山鹰国际          27.1   76.8%      4.6     12.6      84.1  -3.05%       80
000837  秦川机床         261.0   77.1%     19.9     87.4     651.3   5.60%      137
300657  弘信电子         119.9   77.2%     21.6     54.8     466.6   4.22%      223
603686  福龙马           38.6   77.8%     10.9     20.5      99.4  -0.34%       60
002097  山河智能         128.3   77.8%     11.8     34.5     398.9  -0.60%       89
002526  山东矿机          65.4   78.0%     16.1     41.2     574.5   3.08%       54
002196  方正电机         145.6   78.0%     18.3     51.0     466.1  -3.93%       67
600582  天地科技          15.9   78.1%      7.2     11.6      25.8  -0.90%      228
300432  富临精工          72.8   78.3%      7.2     45.8     526.4  -1.07%      365
002380  科远智慧          59.0   78.3%     16.0     29.6     158.1   0.87%       92
301696  三瑞智能         117.5   78.3%     80.8    108.2     136.9  -4.88%      524
300339  润和软件         224.6   78.5%     21.6     86.9     388.4   3.07%      331
002050  三花智控          48.8   78.5%     17.2     34.2      68.2  -3.04%     1933
002057  中钢天源          41.0   78.5%     13.8     30.1     333.3   7.58%       79
300964  本川智能         222.0   78.8%     34.2    111.6     633.8   0.22%       74
002283  天润工业          28.0   78.8%     10.0     17.7      76.8  -0.88%      115
603619  中曼石油          38.5   79.8%      8.2     19.0      97.7  -8.32%      110
688678  福立旺           98.7   80.0%     17.7     30.7     328.5   0.94%       86
002611  东方精工          50.1   80.2%      3.4     17.5     200.8   0.11%      221
688396  华润微           91.6   80.5%     24.1     63.6     146.4   4.84%      871
002214  *ST大立        118.3   81.1%     25.9     72.2     188.4  -0.56%       85
300873  海晨股份          23.9   81.2%     10.8     18.1      54.8   2.04%       51
301366  一博科技         198.7   81.3%     23.3     49.2     372.7   1.29%       96
600143  金发科技          36.1   81.4%      7.9     23.2     169.7  -0.06%      436
603119  浙江荣泰         117.9   81.5%     23.0     48.1     166.2  -0.22%      342
300678  中科信息         434.1   81.7%     28.2    122.5    2259.1   0.43%       69
688709  成都华微         307.0   81.8%     32.4    128.8     428.3   1.38%      201
600170  上海建工          15.3   81.8%      6.8     11.7      26.0  -0.41%      216
603082  北自科技          39.1   82.1%     26.3     36.3      55.7   0.06%       58
300503  昊志机电         137.8   82.1%     17.1     63.9     612.4  -3.10%      260
300527  ST应急         543.0   82.2%     29.6     76.4    8336.2  -0.27%       76
