COLS: ['选项', '指标', '20260331', '20251231', '20250930', '20250630', '20250331', '20241231', '20240930', '20240630', '20240331', '20231231', '20230930', '20230630', '20230331', '20221231', '20220930', '20220630', '20220331', '20211231', '20210930', '20210630', '20210331', '20201231', '20200930', '20200630', '20200331', '20191231', '20190930', '20190630', '20190331', '20181231', '20180930', '20180630', '20180331', '20171231', '20170930', '20170630', '20170331', '20161231', '20160930', '20160630', '20160331', '20151231', '20150930', '20150630', '20150331', '20141231', '20140930', '20140630', '20140331', '20131231', '20121231', '20111231']

      选项                  指标      20260331      20251231      20250930      20250630      20250331      20241231      20240930      20240630      20240331      20231231      20230930      20230630      20230331      20221231      20220930      20220630      20220331      20211231      20210930      20210630      20210331      20201231      20200930      20200630      20200331      20191231      20190930      20190630      20190331      20181231      20180930      20180630      20180331      20171231      20170930      20170630      20170331      20161231      20160930      20160630      20160331      20151231      20150930      20150630      20150331      20141231      20140930      20140630      20140331      20131231      20121231      20111231
60  收益质量               销售成本率  5.240084e+01  5.662636e+01  5.594477e+01  5.659651e+01  5.955597e+01  5.813929e+01  5.744895e+01  5.766070e+01  5.707412e+01  6.067264e+01  6.078946e+01  6.079116e+01  5.969526e+01  5.946946e+01  5.886282e+01  5.850283e+01  5.952306e+01  5.884011e+01  5.820473e+01  5.906033e+01  6.044847e+01  5.845327e+01  5.835430e+01  5.806849e+01  5.500513e+01  5.358389e+01  5.327068e+01  5.295363e+01  5.490975e+01  5.106594e+01  5.013345e+01  4.939356e+01  4.944707e+01  4.767192e+01  4.719487e+01  4.694535e+01  4.773312e+01  4.782483e+01  4.797892e+01  4.832574e+01  4.847419e+01  4.894755e+01  4.837616e+01  4.805567e+01  4.661435e+01  4.596153e+01  4.541060e+01  4.435039e+01  4.158279e+01  4.900018e+01  4.705471e+01  4.323337e+01
61  收益质量   经营活动净现金/归属母公司的净利润  4.976830e-01  5.387290e-01  3.602000e-01  4.671430e-01  4.038200e-02  3.891950e-01  2.490770e-01  3.093020e-01  2.072260e-01  8.188790e-01  4.427210e-01  7.563790e-01  4.708470e-01  5.014430e-01  1.254370e+00  5.976750e-01  2.205600e-01  7.116130e-01  7.229310e-01  8.363470e-01 -4.563200e-02  4.429860e-01  5.685910e-01 -1.166800e-02 -6.769200e-01  1.398340e+00  1.127016e+00  7.548460e-01  1.053306e+00  8.201320e-01  7.268010e-01  5.475340e-01  3.644540e-01  5.376590e-01  5.044550e-01  5.999690e-01  8.181840e-01  1.019526e+00  9.009690e-01  7.645910e-01  1.269278e+00  1.157801e+00  7.341830e-01  6.680510e-01  5.627290e-01  1.165457e+00  1.033285e+00  8.049190e-01  2.191740e-01  8.692440e-01  1.512716e+00  3.777360e-01
62  收益质量            所得税/利润总额  1.299879e+01  1.273618e+01  1.088438e+01  1.140924e+01  1.383220e+01  1.188636e+01  1.123066e+01  1.207146e+01  1.397296e+01  1.077771e+01  1.144284e+01  1.271862e+01  1.419454e+01  1.126358e+01  1.221077e+01  1.525698e+01  1.497717e+01  1.233657e+01  1.357455e+01  1.518680e+01  1.494486e+01  1.372639e+01  1.405560e+01  1.401164e+01  1.837339e+01  1.400606e+01  1.485416e+01  1.487622e+01  1.412076e+01  1.293713e+01  1.357642e+01  1.366624e+01  1.396876e+01  1.327108e+01  1.315566e+01  1.351435e+01  1.403445e+01  1.352501e+01  1.366687e+01  1.360664e+01  1.484836e+01  1.362581e+01  1.201787e+01  1.238750e+01  1.262710e+01  1.424519e+01  1.343286e+01  1.516430e+01  1.442234e+01  1.490123e+01  1.448988e+01  8.027538e+00
63  财务风险                流动比率  3.102751e+00  2.561362e+00  2.402688e+00  2.573965e+00  2.639678e+00  2.549452e+00  2.347055e+00  2.117130e+00  2.154911e+00  2.272309e+00  2.219544e+00  2.104901e+00  2.586422e+00  2.533189e+00  2.195341e+00  3.672039e+00  2.586620e+00  5.744124e+00  5.151175e+00  4.688318e+00  5.720095e+00  6.525961e+00  7.048153e+00  7.990752e+00  3.635256e+00  5.550533e+00  9.505428e+00  8.303633e+00  5.731561e+00  1.062087e+01  9.461266e+00  7.166492e+00  8.674743e+00  8.493753e+00  7.298540e+00  8.386004e+00  8.401247e+00  1.163994e+01  1.234359e+01  1.078296e+01  1.025704e+01  1.236762e+01  1.275209e+01  1.189024e+01  7.096289e+00  8.165198e+00           NaN  6.179145e+00           NaN  6.123344e+00  5.162902e+00  8.231599e+00
64  财务风险                速动比率  2.560604e+00  2.161224e+00  2.062983e+00  2.158639e+00  2.256397e+00  2.169130e+00  2.005069e+00  1.788533e+00  1.838548e+00  1.907128e+00  1.875410e+00  1.693786e+00  2.047463e+00  1.967267e+00  1.659998e+00  2.807623e+00  2.008422e+00  4.457256e+00  4.173954e+00  3.962970e+00  4.929266e+00  5.582198e+00  5.813580e+00  6.401110e+00  3.092776e+00  4.793189e+00  7.943907e+00  6.892986e+00  4.345247e+00  8.737882e+00  7.706515e+00  5.961763e+00  7.616706e+00  7.490356e+00  6.435187e+00  7.549953e+00  7.568423e+00  1.071165e+01  1.114083e+01  9.709371e+00  9.352201e+00  1.124534e+01  1.145172e+01  1.066450e+01  5.946035e+00  6.683804e+00           NaN  4.658266e+00           NaN  4.920987e+00  4.213635e+00  6.786624e+00
65  财务风险              保守速动比率  2.197516e+00  1.866256e+00  1.784351e+00  1.770783e+00  1.907305e+00  1.847144e+00  1.680878e+00  1.484854e+00  1.596608e+00  1.703839e+00  1.743988e+00  1.606357e+00  2.009243e+00  1.934047e+00  1.582265e+00  2.544686e+00  1.971363e+00  4.369231e+00  4.085210e+00  3.902409e+00  4.858166e+00  5.483009e+00  5.692426e+00  6.226575e+00  2.954171e+00  4.586552e+00  7.535927e+00  6.516607e+00  4.236500e+00  3.955448e+00  3.829959e+00  3.280200e+00  3.511323e+00  3.517452e+00  2.848898e+00  3.132967e+00  2.794870e+00  4.102882e+00  4.718423e+00  3.980947e+00  3.271200e+00  5.851393e+00  4.641286e+00  5.606673e+00  5.910397e+00  6.635240e+00           NaN  4.601845e+00           NaN  4.874199e+00  3.976966e+00  6.408825e+00
66  财务风险               资产负债率  3.296276e+01  3.853267e+01  4.038399e+01  3.793270e+01  3.738908e+01  3.842990e+01  3.961569e+01  4.282626e+01  4.183475e+01  3.826714e+01  3.416893e+01  3.437268e+01  3.027450e+01  3.078098e+01  3.344077e+01  2.025351e+01  2.852769e+01  1.326300e+01  1.464122e+01  1.544565e+01  1.276712e+01  1.093351e+01  1.003107e+01  8.740110e+00  2.052700e+01  1.349858e+01  7.751175e+00  8.870083e+00  8.613883e+00  7.217593e+00  8.077523e+00  1.054510e+01  9.233388e+00  9.296990e+00  1.058859e+01  9.871008e+00  9.672067e+00  7.168199e+00  6.729168e+00  7.617188e+00  8.110182e+00  6.635650e+00  6.381146e+00  6.807860e+00  1.015445e+01  8.622271e+00           NaN  1.093196e+01           NaN  1.109555e+01  1.168636e+01  9.964220e+00
67  财务风险                权益乘数  1.739620e+00  1.838725e+00  1.867966e+00  1.838776e+00  1.821234e+00  1.836931e+00  1.843604e+00  1.904183e+00  1.877555e+00  1.683008e+00  1.616820e+00  1.577979e+00  1.527800e+00  1.361075e+00  1.384301e+00  1.233719e+00  1.300891e+00  1.163291e+00  1.173203e+00  1.174331e+00  1.155074e+00  1.154952e+00  1.150161e+00  1.142730e+00  1.216691e+00  1.127382e+00  1.091231e+00  1.097727e+00  1.096546e+00  1.100915e+00  1.105990e+00  1.120567e+00  1.112377e+00  1.102601e+00  1.111177e+00  1.106048e+00  1.104665e+00  1.086761e+00  1.084499e+00  1.089705e+00  1.092444e+00  1.095905e+00  1.094472e+00  1.098021e+00  1.124484e+00  1.131630e+00           NaN  1.147926e+00           NaN  1.155872e+00  1.149172e+00  1.134643e+00
68  财务风险     权益乘数(含少数股权的净资产)  1.491708e+00  1.626880e+00  1.677401e+00  1.611154e+00  1.597165e+00  1.624164e+00  1.656059e+00  1.749054e+00  1.719239e+00  1.619882e+00  1.519039e+00  1.523755e+00  1.434195e+00  1.444689e+00  1.502421e+00  1.253973e+00  1.399143e+00  1.152910e+00  1.171525e+00  1.182671e+00  1.146356e+00  1.122756e+00  1.111494e+00  1.095771e+00  1.258288e+00  1.156050e+00  1.084024e+00  1.097334e+00  1.094258e+00  1.077790e+00  1.087873e+00  1.117881e+00  1.101726e+00  1.102499e+00  1.118425e+00  1.109520e+00  1.107077e+00  1.077217e+00  1.072146e+00  1.082452e+00  1.088259e+00  1.071072e+00  1.068160e+00  1.073051e+00  1.113021e+00  1.094358e+00           NaN  1.122737e+00           NaN  1.124803e+00  1.132327e+00  1.110669e+00
69  财务风险                产权比率  5.461903e+01  7.050068e+01  7.613348e+01  6.936069e+01  6.712169e+01  7.106050e+01  7.377647e+01  8.501913e+01  8.066217e+01  6.977952e+01  5.784695e+01  5.574471e+01  4.606550e+01  4.722509e+01  5.318517e+01  2.612003e+01  4.108748e+01  1.567605e+01  1.759661e+01  1.862237e+01  1.489443e+01  1.249736e+01  1.136035e+01  9.758816e+00  2.610010e+01  1.575249e+01  8.482329e+00  9.826530e+00  9.514429e+00  7.854545e+00  8.872886e+00  1.190612e+01  1.026553e+01  1.034756e+01  1.196965e+01  1.108312e+01  1.084577e+01  7.810265e+00  7.302312e+00  8.347054e+00  8.927473e+00  7.191944e+00  6.898956e+00  7.397524e+00  1.150715e+01  9.616825e+00           NaN  1.253166e+01           NaN  1.275422e+01  1.360392e+01  1.130584e+01
70  财务风险                现金比率  8.508610e-01  8.135780e-01  7.988990e-01  7.889640e-01  9.500360e-01  9.848900e-01  8.677870e-01  7.935050e-01  9.220280e-01  9.774930e-01  1.016157e+00  8.433000e-01  1.107292e+00  1.101789e+00  9.477340e-01  1.355067e+00  1.088418e+00  2.588086e+00  2.283134e+00  2.083510e+00  2.651373e+00  3.397301e+00  3.721950e+00  4.122310e+00  1.951334e+00  3.041006e+00  4.974708e+00  3.798312e+00  1.930541e+00  1.443506e+00  1.368433e+00  8.116360e-01  1.119012e+00  1.250644e+00  6.711080e-01  8.339410e-01  6.278650e-01  1.602880e+00  1.945911e+00  1.319998e+00  1.060070e+00  3.129485e+00  1.180478e+00  2.254059e+00  2.918347e+00  3.525216e+00           NaN  1.500584e+00           NaN  1.864486e+00  6.551010e-01  1.872067e+00
71  营运能力             应收账款周转率  8.963280e-01  4.115259e+00  2.563623e+00  1.845301e+00  9.170360e-01  3.825192e+00  2.596387e+00  1.807447e+00  8.875300e-01  3.529339e+00  2.486517e+00  1.740350e+00  8.181270e-01  4.126181e+00  3.162179e+00  2.358523e+00  1.280605e+00  5.631012e+00  3.873213e+00  2.495496e+00  1.166495e+00  3.594445e+00  2.395296e+00  1.647293e+00  9.442780e-01  5.729756e+00  4.313737e+00  2.798525e+00  1.423522e+00  8.320673e+00  6.420119e+00  4.421980e+00  2.069899e+00  1.083813e+01  6.393029e+00  4.326127e+00  1.821307e+00  7.777873e+00  5.434586e+00  3.595371e+00  1.716631e+00  6.497043e+00  4.717905e+00  3.136302e+00  1.371201e+00  6.406139e+00           NaN  3.076105e+00           NaN  6.007362e+00  3.373266e+00  4.074220e+00
72  营运能力            应收账款周转天数  1.004096e+02  8.747930e+01  1.053197e+02  9.754505e+01  9.814219e+01  9.411292e+01  1.039906e+02  9.958796e+01  1.014050e+02  1.020021e+02  1.085856e+02  1.034274e+02  1.100073e+02  8.724773e+01  8.538415e+01  7.631894e+01  7.027926e+01  6.393167e+01  6.970956e+01  7.212993e+01  7.715419e+01  1.001545e+02  1.127209e+02  1.092702e+02  9.531082e+01  6.282989e+01  6.259074e+01  6.431959e+01  6.322343e+01  4.326573e+01  4.205529e+01  4.070574e+01  4.348036e+01  3.321605e+01  4.223350e+01  4.160765e+01  4.941506e+01  4.628514e+01  4.968179e+01  5.006437e+01  5.242826e+01  5.540982e+01  5.722879e+01  5.739242e+01  6.563585e+01  5.619609e+01           NaN  5.851554e+01           NaN  5.992646e+01  1.067215e+02  8.836045e+01
73  营运能力               存货周转率  6.550950e-01  2.951683e+00  2.319144e+00  1.575159e+00  8.314730e-01  2.989552e+00  2.305267e+00  1.549832e+00  7.568740e-01  2.537793e+00  1.835139e+00  1.184686e+00  5.157680e-01  2.161855e+00  1.461021e+00  1.114567e+00  6.170310e-01  3.009980e+00  2.642634e+00  2.151475e+00  1.042222e+00  2.289331e+00  1.450989e+00  8.716250e-01  5.185770e-01  2.178149e+00  1.597133e+00  1.154654e+00  5.460310e-01  2.381603e+00  1.864156e+00  1.474211e+00  7.134600e-01  3.343859e+00  2.618681e+00  1.891389e+00  8.297860e-01  2.979003e+00  2.000715e+00  1.429555e+00  7.236570e-01  2.517854e+00  1.882888e+00  1.358154e+00  6.212720e-01  2.425920e+00           NaN  1.215742e+00           NaN  3.860712e+00  2.738114e+00  2.689232e+00
74  营运能力              存货周转天数  1.373847e+02  1.219643e+02  1.164222e+02  1.142741e+02  1.082416e+02  1.204194e+02  1.171231e+02  1.161416e+02  1.189101e+02  1.418555e+02  1.471278e+02  1.519389e+02  1.744970e+02  1.665236e+02  1.848022e+02  1.614976e+02  1.458597e+02  1.196021e+02  1.021708e+02  8.366352e+01  8.635389e+01  1.572512e+02  1.860799e+02  2.065108e+02  1.735516e+02  1.652779e+02  1.690529e+02  1.558908e+02  1.648255e+02  1.511587e+02  1.448376e+02  1.220992e+02  1.261457e+02  1.076600e+02  1.031053e+02  9.516813e+01  1.084616e+02  1.208458e+02  1.349517e+02  1.259132e+02  1.243682e+02  1.429789e+02  1.433967e+02  1.325328e+02  1.448639e+02  1.483973e+02           NaN  1.480577e+02           NaN  9.324703e+01  1.314773e+02  1.338672e+02
75  营运能力              总资产周转率  1.694490e-01  6.391930e-01  4.776660e-01  3.369980e-01  1.611370e-01  6.058590e-01  4.632760e-01  3.191090e-01  1.532640e-01  5.756100e-01  4.107960e-01  2.908310e-01  1.345600e-01  5.857800e-01  4.210090e-01  3.188670e-01  1.674210e-01  6.839400e-01  5.457140e-01  3.893530e-01  1.738000e-01  3.992540e-01  2.776110e-01  1.774460e-01  1.000580e-01  4.772050e-01  3.804330e-01  2.812420e-01  1.251950e-01  5.241210e-01  4.275560e-01  3.225040e-01  1.361750e-01  5.593920e-01  4.315400e-01  2.919310e-01  1.232700e-01  4.256520e-01  3.162510e-01  2.258990e-01  1.081290e-01  4.794880e-01  3.843870e-01  2.798390e-01  1.595830e-01  6.766700e-01           NaN  4.044370e-01           NaN  9.596760e-01  7.312510e-01  8.832990e-01
76  营运能力             总资产周转天数  5.311328e+02  5.632097e+02  5.652481e+02  5.341274e+02  5.585284e+02  5.941976e+02  5.828047e+02  5.640692e+02  5.872194e+02  6.254228e+02  6.572591e+02  6.189151e+02  6.688423e+02  6.145644e+02  6.413151e+02  5.644969e+02  5.375640e+02  5.263613e+02  4.947643e+02  4.623046e+02  5.178350e+02  9.016805e+02  9.725809e+02  1.014392e+03  8.994763e+02  7.543919e+02  7.097159e+02  6.400169e+02  7.188742e+02  6.868635e+02  6.314954e+02  5.581326e+02  6.609100e+02  6.435549e+02  6.256649e+02  6.165828e+02  7.301013e+02  8.457597e+02  8.537497e+02  7.968150e+02  8.323357e+02  7.508005e+02  7.024160e+02  6.432268e+02  5.639677e+02  5.320166e+02           NaN  4.450629e+02           NaN  3.751266e+02  4.923067e+02  4.075627e+02
77  营运能力             流动资产周转率  2.067940e-01  7.974950e-01  6.011280e-01  4.320540e-01  2.054280e-01  7.942690e-01  6.128350e-01  4.241720e-01  2.031970e-01  7.863260e-01  5.602430e-01  4.074630e-01  1.864230e-01  8.131000e-01  5.840450e-01  4.378020e-01  2.319740e-01  9.567430e-01  7.649930e-01  5.458360e-01  2.436400e-01  5.498820e-01  3.840210e-01  2.470520e-01  1.346170e-01  6.359050e-01  5.127440e-01  3.788500e-01  2.022790e-01  6.820580e-01  5.571450e-01  4.218250e-01  1.733060e-01  7.086430e-01  5.545270e-01  3.619830e-01  1.547600e-01  5.302370e-01  3.923370e-01  2.812830e-01  1.335220e-01  6.318850e-01  5.088890e-01  3.734230e-01  2.283440e-01  9.952400e-01           NaN  6.054660e-01           NaN  1.506618e+00  1.041979e+00  1.091905e+00
78  营运能力            流动资产周转天数  4.352147e+02  4.514131e+02  4.491555e+02  4.166138e+02  4.381078e+02  4.532464e+02  4.405752e+02  4.243555e+02  4.429192e+02  4.578252e+02  4.819331e+02  4.417571e+02  4.827723e+02  4.427497e+02  4.622927e+02  4.111442e+02  3.879738e+02  3.762764e+02  3.529440e+02  3.297689e+02  3.693963e+02  6.546858e+02  7.030851e+02  7.285909e+02  6.685630e+02  5.661215e+02  5.265780e+02  4.751212e+02  4.449291e+02  5.278136e+02  4.846129e+02  4.267164e+02  5.193104e+02  5.080127e+02  4.869013e+02  4.972606e+02  5.815440e+02  6.789408e+02  6.881839e+02  6.399241e+02  6.740453e+02  5.697232e+02  5.305666e+02  4.820266e+02  3.941410e+02  3.617215e+02           NaN  2.972913e+02           NaN  2.389457e+02  3.454963e+02  3.296987e+02
79  营运能力             应付账款周转率  1.437396e+00  5.579590e+00  4.487108e+00  2.948575e+00  1.505891e+00  4.526169e+00  3.393673e+00  2.142952e+00  1.018858e+00  3.759276e+00  3.044272e+00  1.947679e+00  9.093560e-01  4.752439e+00  3.533851e+00  2.283537e+00  1.166977e+00  6.109157e+00  4.119577e+00  2.649839e+00  1.392118e+00  4.163858e+00  3.619737e+00  2.501881e+00  1.233174e+00  5.556676e+00  4.480992e+00  2.950308e+00           NaN  6.483768e+00           NaN  3.016939e+00  1.448361e+00  6.705600e+00  4.567617e+00  3.030993e+00  1.423135e+00  5.210491e+00  4.194779e+00  2.854705e+00  1.293567e+00  5.747203e+00  4.688497e+00  3.064646e+00  1.409843e+00  4.925779e+00           NaN  2.672703e+00           NaN  6.406352e+00  4.614148e+00  9.025041e+00
