COLS: ['选项', '指标', '20260331', '20251231', '20250930', '20250630', '20250331', '20241231', '20240930', '20240630', '20240331', '20231231', '20230930', '20230630', '20230331', '20221231', '20220930', '20220630', '20220331', '20211231', '20210930', '20210630', '20210331', '20201231', '20200930', '20200630', '20200331', '20191231', '20190930', '20190630', '20190331', '20181231', '20180930', '20180630', '20180331', '20171231', '20170930', '20170630', '20170331', '20161231', '20160930', '20160630', '20160331', '20151231', '20150930', '20150630', '20150331', '20141231', '20140930', '20140630', '20140331', '20131231', '20121231', '20111231']

      选项                  指标      20260331      20251231      20250930      20250630      20250331      20241231      20240930      20240630      20240331      20231231      20230930      20230630      20230331      20221231      20220930      20220630      20220331      20211231      20210930      20210630      20210331      20201231      20200930      20200630      20200331      20191231      20190930      20190630      20190331      20181231      20180930      20180630      20180331      20171231      20170930      20170630      20170331      20161231      20160930      20160630      20160331      20151231      20150930      20150630      20150331      20141231      20140930      20140630      20140331      20131231      20121231      20111231
18  每股指标              稀释每股收益  2.100000e-01  6.400000e-01  5.400000e-01  3.600000e-01  1.500000e-01  5.300000e-01  4.400000e-01  2.900000e-01  1.300000e-01  3.700000e-01  2.600000e-01  1.600000e-01  8.000000e-02  3.900000e-01  3.600000e-01  2.000000e-01  9.000000e-02  3.900000e-01  3.200000e-01  2.200000e-01  8.000000e-02  2.300000e-01  1.300000e-01  8.000000e-02  4.000000e-02  2.800000e-01  2.300000e-01  1.800000e-01  7.000000e-02  4.000000e-01  3.500000e-01  2.700000e-01  1.100000e-01  4.400000e-01  3.200000e-01  2.800000e-01  1.300000e-01  5.300000e-01  3.600000e-01  2.700000e-01  1.100000e-01  4.300000e-01  3.500000e-01  2.500000e-01  1.100000e-01  5.500000e-01  4.700000e-01  3.200000e-01  1.700000e-01  6.800000e-01  4.300000e-01  7.300000e-01
19  每股指标         摊薄每股收益_最新股数  2.130410e-01  6.359310e-01  5.380110e-01  3.571080e-01  1.507560e-01  5.232180e-01  4.407340e-01  2.878730e-01  1.328750e-01  3.631340e-01  2.608960e-01  1.627930e-01  6.523300e-02  3.897370e-01  2.964480e-01  1.981750e-01  7.124800e-02  3.205490e-01  2.650490e-01  1.777170e-01  6.921600e-02  1.919480e-01  1.055990e-01  6.281100e-02  3.205600e-02  2.279540e-01  1.867860e-01  1.472790e-01  5.970900e-02  3.309630e-01  2.917180e-01  2.210820e-01  8.728100e-02  3.550900e-01  2.660810e-01  1.589780e-01  5.049700e-02  2.138140e-01  1.448240e-01  1.088580e-01  4.462600e-02  1.659570e-01  1.324010e-01  9.095600e-02  3.810400e-02  1.960340e-01  1.649040e-01  1.140610e-01  5.959900e-02  2.406430e-01  1.513310e-01  2.590330e-01
20  每股指标        摊薄每股净资产_期末股数  2.655214e+00  2.437396e+00  2.335016e+00  2.149609e+00  2.304079e+00  2.151417e+00  2.093658e+00  1.937999e+00  2.081089e+00  1.945851e+00  1.992697e+00  1.835384e+00  2.283773e+00  2.204667e+00  2.092103e+00  1.972752e+00  1.818785e+00  2.131024e+00  2.061702e+00  1.955297e+00  2.041262e+00  1.957804e+00  1.849576e+00  1.797983e+00  1.760805e+00  1.941143e+00  1.899187e+00  1.851333e+00  2.046451e+00  1.972939e+00  1.926409e+00  2.669000e+00  4.411073e+00  4.197562e+00  3.789041e+00  3.348611e+00  3.079136e+00  3.403507e+00  3.228881e+00  3.137449e+00  3.376154e+00  3.265969e+00  3.176608e+00  3.080251e+00  2.396435e+00  2.289040e+00           NaN  2.046469e+00           NaN  2.295949e+00  1.784521e+00  1.831663e+00
21  每股指标        调整每股净资产_期末股数  2.239378e+00  2.026887e+00  1.892988e+00  1.709663e+00  1.860101e+00  1.707046e+00  1.652028e+00  1.499923e+00  1.641352e+00  1.504957e+00  1.560321e+00  1.401033e+00  1.760571e+00  1.679897e+00  1.568714e+00  1.688779e+00  1.537680e+00  1.848806e+00  1.792674e+00  1.723951e+00  1.810872e+00  1.726652e+00  1.611283e+00  1.558835e+00  1.573275e+00  1.752747e+00  1.720153e+00  1.673810e+00  1.868916e+00  1.794619e+00  1.750131e+00  2.413221e+00  4.050895e+00  3.835819e+00  3.416649e+00  3.318101e+00  3.047450e+00  3.370631e+00  3.194453e+00  3.103131e+00  3.343048e+00  3.243614e+00  3.151541e+00  3.055763e+00  2.368859e+00  2.261290e+00           NaN  2.016086e+00           NaN  2.265433e+00  1.753799e+00  1.800707e+00
22  每股指标          每股净资产_最新股数  2.655214e+00  2.437396e+00  2.335016e+00  2.149609e+00  2.288645e+00  2.137006e+00  2.079633e+00  1.925017e+00  2.067149e+00  1.932817e+00  1.979348e+00  1.823131e+00  1.890439e+00  1.824957e+00  1.731780e+00  1.632985e+00  1.505535e+00  1.763998e+00  1.709880e+00  1.621633e+00  1.692928e+00  1.623712e+00  1.533952e+00  1.491164e+00  1.460409e+00  1.609980e+00  1.567935e+00  1.528428e+00  1.689514e+00  1.628824e+00  1.590410e+00  1.519641e+00  1.793943e+00  1.707110e+00  1.529063e+00  1.340458e+00  1.232586e+00  1.362433e+00  1.292530e+00  1.255929e+00  1.351484e+00  1.307376e+00  1.271605e+00  1.233033e+00  8.498490e-01  8.117630e-01           NaN  7.257400e-01           NaN  7.401940e-01  5.753140e-01  5.905120e-01
23  每股指标             每股经营现金流  1.060270e-01  3.425950e-01  1.937920e-01  1.668210e-01  6.128000e-03  2.050070e-01  1.105170e-01  8.964000e-02  2.772000e-02  2.993690e-01  1.162830e-01  1.239610e-01  3.710500e-02  2.360930e-01  4.492250e-01  1.430880e-01  1.898400e-02  2.755680e-01  2.310380e-01  1.792160e-01 -3.808000e-03  1.025260e-01  7.239700e-02 -8.830000e-04 -2.616300e-02  3.843230e-01  2.549850e-01  1.346600e-01  7.617900e-02  3.287780e-01  2.568140e-01  2.126050e-01  7.821700e-02  4.694410e-01  3.326140e-01  2.382740e-01  1.032120e-01  5.445610e-01  3.259600e-01  2.079240e-01  1.415020e-01  4.800010e-01  2.428340e-01  1.517940e-01  6.046400e-02  6.442450e-01           NaN  2.588900e-01           NaN  6.488320e-01  7.100740e-01  3.035000e-01
24  每股指标            每股现金流量净额 -2.287100e-01 -1.326870e-01 -1.723350e-01 -6.618400e-02 -9.539000e-02 -1.689650e-01 -2.526400e-02 -3.344600e-02  1.422850e-01  2.127630e-01  1.984090e-01 -8.322900e-02  1.014300e-02  1.872200e-01  2.104840e-01 -1.344850e-01 -2.356800e-02  1.024770e-01  7.458800e-02  3.715200e-02 -6.255300e-02  4.956620e-01  1.217070e-01  1.686320e-01  1.313820e-01 -1.084300e-02 -5.814700e-02 -5.799900e-02  1.508820e-01 -4.336200e-02 -3.329300e-02 -1.277280e-01 -3.535900e-02  1.330710e-01 -1.078440e-01 -1.064060e-01 -2.055680e-01 -3.101190e-01 -2.730070e-01 -3.818630e-01 -4.063360e-01  4.699200e-02 -4.186450e-01 -1.712710e-01  3.165000e-02  2.696250e-01           NaN -1.105440e-01           NaN  3.819610e-01 -2.256300e-01 -1.899280e-01
25  每股指标          每股企业自由现金流量           NaN  3.363340e-01           NaN  3.783140e-01           NaN  1.884770e-01           NaN  2.595900e-01           NaN  1.817440e-01           NaN  3.092340e-01           NaN  5.453730e-01           NaN  3.967310e-01           NaN  2.457630e-01           NaN  2.300690e-01           NaN  3.006660e-01           NaN  2.525550e-01           NaN  3.438140e-01           NaN  3.307880e-01           NaN  5.214370e-01           NaN  7.556130e-01           NaN  3.496810e-01           NaN  4.503600e-01           NaN  4.567270e-01           NaN  3.991840e-01           NaN -8.356370e-01           NaN -8.363930e-01           NaN  3.818810e-01           NaN  3.664040e-01           NaN  2.729600e-01  5.245230e-01 -6.635260e-01
26  每股指标          每股股东自由现金流量           NaN  3.544040e-01           NaN  3.092000e-01           NaN  3.764480e-01           NaN  4.924340e-01           NaN  5.414310e-01           NaN  6.375440e-01           NaN  6.453780e-01           NaN  5.640950e-01           NaN  2.457630e-01           NaN  2.287880e-01           NaN  3.006660e-01           NaN  2.525550e-01           NaN  3.438140e-01           NaN  3.307880e-01           NaN  5.214370e-01           NaN  7.556130e-01           NaN  3.496810e-01           NaN  4.503600e-01           NaN  4.567270e-01           NaN  3.991840e-01           NaN -8.356370e-01           NaN -8.363930e-01           NaN  3.818810e-01           NaN  3.664040e-01           NaN  2.729600e-01  5.245230e-01 -6.635260e-01
27  每股指标             每股未分配利润  1.173512e+00  9.604700e-01  9.131090e-01  7.322060e-01  8.794000e-01  7.276270e-01  6.839420e-01  5.300500e-01  6.740070e-01  5.402350e-01  4.701070e-01  3.713480e-01  7.277570e-01  6.489500e-01  5.808080e-01  4.620880e-01  3.087520e-01  6.226790e-01  5.921500e-01  4.868490e-01  5.760230e-01  4.925650e-01  4.129340e-01  3.613410e-01  3.242410e-01  5.055900e-01  4.862600e-01  4.384070e-01  6.294330e-01  5.571090e-01  5.399930e-01  6.589300e-01  1.593503e+00  1.378889e+00  1.273707e+00  1.016481e+00  7.454840e-01  1.069336e+00  9.430870e-01  8.532410e-01  1.092782e+00  9.812990e-01  9.260130e-01  8.224790e-01  1.163158e+00  1.055708e+00           NaN  8.811190e-01           NaN  1.115432e+00  6.674320e-01  7.687800e-01
28  每股指标             每股资本公积金  1.127790e-01  1.091280e-01  1.054110e-01  1.016840e-01  5.789600e-02  5.746700e-02  8.324600e-02  8.255200e-02  8.218800e-02  8.170000e-02  2.421220e-01  1.836420e-01  2.200720e-01  2.197730e-01  2.199080e-01  2.192770e-01  2.186460e-01  2.180140e-01  2.253760e-01  2.242720e-01  2.220630e-01  2.220630e-01  2.179510e-01  2.179510e-01  2.181240e-01  2.181240e-01  2.012450e-01  2.012450e-01  2.012450e-01  2.012450e-01  2.012450e-01  7.418060e-01  1.438529e+00  1.438529e+00  1.235601e+00  1.049375e+00  1.049375e+00  1.049375e+00  1.049375e+00  1.049375e+00  1.049375e+00  1.049375e+00  1.049375e+00  1.049375e+00  4.574000e-03  4.574000e-03           NaN  7.557000e-03           NaN  5.032000e-03  5.032000e-03  3.634000e-03
