code,name,boards,hist_cur_pe,pe_pct,pe_lo,pe_median,pe_hi,n_points,change_pct,mktcap_yi
002975,博杰股份,BK0917,106.43,85.7,19.64,38.89,417.73,610,4.77,25968471931.0
002171,楚江新材,BK0917,54.87,85.8,11.25,31.75,144.25,731,0.23,21536385561.0
600641,先导基电,BK0917,124.14,86.1,4.02,40.84,196.31,671,8.34,25205570790.0
300303,聚飞光电,BK0917,48.25,86.2,17.24,29.78,76.48,731,-4.32,13176291401.0
300400,劲拓股份,BK0917,94.97,86.5,22.05,55.73,165.97,731,5.87,8528296870.0
688549,中巨芯-U,BK0917,2960.09,86.6,1.01,990.61,9999.73,846,13.5,32175071280.0
688079,美迪凯,BK0917,1791.46,86.6,41.33,56.03,2483.84,455,-4.0,11255465238.0
688691,灿芯股份,BK0917,118.23,86.6,27.86,47.57,181.82,382,5.46,11450400000.0
002046,国机精工,BK0917,198.86,87.2,16.63,53.96,437.16,657,0.75,32611127740.0
300260,新莱应材,BK0917,141.94,87.3,24.76,61.43,5195.55,718,15.82,29084777553.0
002028,思源电气,BK0917,42.71,87.6,15.04,27.49,65.85,731,1.45,140966404949.0
300296,利亚德,BK0917,77.85,88.5,9.98,40.43,3457.27,583,-0.7,19146559187.0
603163,圣晖集成,BK0917,58.95,88.8,17.02,23.88,107.2,1334,10.01,10654000000.0
002119,康强电子,BK0917,78.25,88.9,19.12,55.87,1457.29,721,2.65,9318301720.0
300323,华灿光电,BK0917,275.92,88.9,10.62,63.87,669.08,332,-0.84,26925550042.0
688720,艾森股份,BK0917,145.35,88.9,69.68,108.37,183.04,916,8.73,8390293397.0
301369,联动科技,BK0917,443.98,89.4,26.05,146.97,555.51,1355,3.74,18240453918.0
600895,张江高科,BK0917,59.96,89.6,9.84,35.46,79.22,694,4.13,48396548438.0
600667,太极实业,BK0917,68.03,90.0,14.09,28.55,263.97,658,2.14,31916933636.0
688234,天岳先进,BK0917,1218.31,90.0,123.41,406.12,2274.47,900,10.07,64914653969.0
688035,德邦科技,BK0917,91.35,90.4,32.05,64.46,126.07,1358,5.86,11108944000.0
688249,晶合集成,BK0917,123.46,90.6,26.46,83.16,154.06,1010,4.36,79801769956.0
688548,广钢气体,BK0917,109.49,90.8,31.48,51.09,142.95,1029,2.4,35993191653.0
600877,电科芯片,BK0917,530.57,91.4,14.66,81.16,1412.08,523,1.27,16044006117.0
688261,东微半导,BK0917,199.13,91.4,21.18,83.72,284.95,1579,7.06,9372082589.0
301071,力量钻石,BK0917,140.77,91.7,15.08,43.5,192.34,860,0.23,18442896099.0
300820,英杰电气,BK0917,65.38,92.2,17.16,45.98,94.62,770,3.62,14139736369.0
300102,乾照光电,BK0917,182.91,92.2,1.12,44.35,288.59,477,-0.73,21149272172.0
688652,京仪装备,BK0917,130.8,92.2,49.3,69.72,181.61,923,5.27,21823200000.0
301611,珂玛科技,BK0917,179.41,93.4,62.99,98.65,220.21,662,9.54,48714280000.0
300024,机器人,BK0917,908.91,93.7,42.27,82.95,1266.42,504,-1.13,24611545614.0
300045,华力创通,BK0917,588.15,93.7,36.65,122.4,824.64,382,-1.09,12047435790.0
603360,百傲化学,BK0917,77.38,93.7,8.62,20.05,118.64,682,-0.48,13284066932.0
688726,拉普拉斯,BK0917,49.6,93.7,18.56,24.06,61.27,588,1.48,24720844267.0
688662,富信科技,BK0917,184.6,93.8,21.42,70.88,687.51,796,12.55,8261028800.0
688478,晶升股份,BK0917,431.23,93.8,32.11,92.25,516.61,920,9.81,8257688609.0
688584,上海合晶,BK0917,139.26,94.1,42.14,99.07,181.32,852,13.72,18797697438.0
300480,光力科技,BK0917,225.31,94.3,39.91,75.85,291.32,611,3.44,12576461722.0
300474,景嘉微,BK0917,561.76,94.6,73.45,118.4,799.54,648,0.43,28096009428.0
603011,合锻智能,BK0917,904.92,94.8,22.56,70.85,5966.48,534,2.73,15069752040.0
300726,宏达电子,BK0917,63.72,94.9,14.46,39.63,84.99,781,0.35,28141016609.0
301338,凯格精机,BK0917,114.44,95.3,28.08,56.28,145.34,1392,-3.51,24127264000.0
688531,日联科技,BK0917,162.57,95.5,30.42,61.09,216.2,1165,0.77,30285475504.0
688535,华海诚科,BK0917,500.71,95.6,85.71,169.41,659.44,1161,6.47,16297963940.0
002129,TCL中环,BK0917,105.98,95.7,4.94,46.15,164.82,600,9.98,39662965733.0
688661,和林微纳,BK0917,589.36,95.7,32.42,92.06,773.56,624,0.36,17467099990.0
688376,美埃科技,BK0917,80.77,95.8,18.1,30.72,104.31,1298,11.66,9999176220.0
600522,中天科技,BK0917,52.93,96.0,9.26,18.11,130.93,731,4.52,176688403484.0
300395,菲利华,BK0917,122.62,96.3,23.5,48.57,169.74,731,6.56,62955818070.0
003009,中天火箭,BK0917,2457.15,96.3,26.38,70.17,3225.04,868,-5.22,9514078064.0
300376,易事特,BK0917,182.77,96.3,10.65,33.56,237.78,722,-1.85,13573641975.0
603186,华正新材,BK0917,73.74,96.6,13.29,41.07,135.05,475,10.0,23460565208.0
603773,沃格光电,BK0917,300.16,96.6,17.23,78.72,307.77,322,2.56,31463128620.0
000988,华工科技,BK0917,88.07,96.7,19.06,42.84,113.27,731,2.0,152665476004.0
300327,中颖电子,BK0917,137.93,96.9,24.08,48.45,164.84,731,3.95,9333060502.0
002183,怡 亚 通,BK0917,192.7,96.9,17.51,58.24,337.98,678,-3.28,16075486273.0
002579,中京电子,BK0917,392.87,97.0,23.43,45.75,2136.68,525,-2.02,10095954858.0
003043,华亚智能,BK0917,119.01,97.0,22.29,48.6,132.62,945,10.0,9808539951.0
603078,江化微,BK0917,154.73,97.1,32.75,72.42,218.36,837,-0.84,16381870295.0
601231,环旭电子,BK0917,47.86,97.5,10.13,20.62,61.4,731,3.17,95588094171.0
000818,航锦科技,BK0917,198.72,97.7,10.73,54.96,358.56,649,0.08,8533800504.0
688172,燕东微,BK0917,132.05,97.7,33.59,55.78,145.48,685,4.1,90939272779.0
600703,三安光电,BK0917,799.59,97.8,11.84,86.65,959.93,669,2.25,83915294988.0
301312,智立方,BK0917,217.02,97.8,25.85,60.82,278.28,1428,0.69,14177889176.0
688106,金宏气体,BK0917,151.75,97.9,23.0,53.84,201.31,1092,2.51,14433976580.0
300316,晶盛机电,BK0917,144.61,98.1,6.37,43.55,174.1,731,8.24,64861208965.0
688003,天准科技,BK0917,189.61,98.1,26.57,63.88,212.72,838,-7.55,19830407025.0
300053,航宇微,BK0917,211.18,98.2,44.46,77.24,267.89,381,-2.06,11575082505.0
002428,云南锗业,BK0917,2695.61,98.3,159.98,447.67,3331.8,404,3.62,53222748800.0
688037,芯源微,BK0917,659.43,98.4,42.47,132.38,825.15,789,6.52,49559989357.0
300672,国科微,BK0917,998.18,98.4,22.95,117.78,1226.36,773,1.53,60990591840.0
601133,柏诚股份,BK0917,74.59,98.4,20.93,31.09,92.65,1155,6.01,15185809874.0
300131,英唐智控,BK0917,1360.22,98.7,20.21,97.14,1991.29,696,2.87,18296514098.0
002008,大族激光,BK0917,90.15,99.0,11.8,30.45,111.32,731,0.95,125621911810.0
601208,东材科技,BK0917,143.93,99.0,18.32,45.86,162.89,731,10.0,60227107062.0
300567,精测电子,BK0917,570.82,99.2,20.31,67.1,627.0,625,3.62,51537605948.0
603931,格林达,BK0917,94.22,99.2,19.27,37.26,106.42,1060,0.44,11356867406.0
002456,欧菲光,BK0917,733.19,99.2,14.76,54.51,764.69,372,1.95,31634919885.0
603052,可川科技,BK0917,474.71,99.3,17.53,39.85,521.24,1297,1.77,16743526799.0
300814,中富电路,BK0917,784.45,99.4,26.29,95.24,803.67,881,7.22,32012860974.0
688456,有研粉材,BK0917,110.11,99.4,18.62,55.28,113.95,955,-0.58,9840443800.0
688268,华特气体,BK0917,183.41,99.5,24.75,53.91,197.12,786,2.35,23434573684.0
603688,石英股份,BK0917,267.89,99.5,2.9,45.66,294.0,731,5.39,38778748710.0
002436,兴森科技,BK0917,435.76,99.5,17.43,43.0,468.97,621,1.32,63720761877.0
688303,大全能源,BK0917,104.35,99.5,4.66,10.14,123.72,599,-1.34,44191237914.0
300782,卓胜微,BK0917,271.9,99.7,23.61,80.31,272.48,753,1.81,54951506252.0
688603,天承科技,BK0917,226.8,99.7,36.55,83.57,233.75,1065,-0.68,21995169807.0
600745,*ST闻泰,BK0917,673.13,99.8,22.57,58.68,673.13,511,-4.02,24980530553.0
300671,富满微,BK0917,282.28,99.8,24.94,71.84,282.28,527,3.55,9360219529.0
688630,芯碁微装,BK0917,148.49,99.8,31.52,65.48,155.14,948,2.43,52696286400.0
600330,天通股份,BK0917,1462.9,99.9,16.26,36.07,1462.9,722,3.51,34190802012.0
688017,绿的谐波,BK0917,574.11,99.9,46.57,163.91,574.11,1056,-2.65,76426662510.0
603938,XD三孚股,BK0917,216.71,99.9,10.49,33.96,216.71,817,0.25,20011261193.0
688383,新益昌,BK0917,344.81,99.9,27.17,70.46,344.81,786,1.5,14230510000.0
688146,中船特气,BK0917,370.72,99.9,34.72,52.45,370.72,1144,-1.6,131373529485.0
601137,博威合金,BK0917,149.51,99.9,7.98,19.35,149.51,722,-1.24,21264258319.0
603203,快克智能,BK0917,123.64,99.9,16.77,27.11,123.64,700,-1.84,18095251724.0
